size,version,checksum,scan_index,error_info,module_time_ms,det_id_0,det_id_1,det_id_2,det_id_3,det_id_4,det_id_5,det_id_6,det_id_7,det_az_raw_0,det_az_raw_1,det_az_raw_2,det_az_raw_3,det_az_raw_4,det_az_raw_5,det_az_raw_6,det_az_raw_7,det_az_vacs_0,det_az_vacs_1,det_az_vacs_2,det_az_vacs_3,det_az_vacs_4,det_az_vacs_5,det_az_vacs_6,det_az_vacs_7,det_el_raw_0,det_el_raw_1,det_el_raw_2,det_el_raw_3,det_el_raw_4,det_el_raw_5,det_el_raw_6,det_el_raw_7,det_el_vacs_0,det_el_vacs_1,det_el_vacs_2,det_el_vacs_3,det_el_vacs_4,det_el_vacs_5,det_el_vacs_6,det_el_vacs_7,detection_used_az_0,detection_used_az_1,detection_used_az_2,detection_used_az_3,detection_used_az_4,detection_used_az_5,detection_used_az_6,detection_used_az_7,detection_used_az_8,detection_used_az_9,detection_used_az_10,detection_used_az_11,detection_used_az_12,detection_used_az_13,detection_used_az_14,detection_used_az_15,detection_used_az_16,detection_used_az_17,detection_used_az_18,detection_used_az_19,detection_used_az_20,detection_used_az_21,detection_used_az_22,detection_used_az_23,detection_used_el_0,detection_used_el_1,detection_used_el_2,detection_used_el_3,detection_used_el_4,detection_used_el_5,detection_used_el_6,detection_used_el_7,detection_used_el_8,detection_used_el_9,detection_used_el_10,detection_used_el_11,detection_used_el_12,detection_used_el_13,detection_used_el_14,detection_used_el_15,detection_used_el_16,detection_used_el_17,detection_used_el_18,detection_used_el_19,detection_used_el_20,detection_used_el_21,detection_used_el_22,detection_used_el_23,cluster_0_detections_0,cluster_0_detections_1,cluster_0_detections_2,cluster_0_detections_3,cluster_0_detections_4,cluster_0_detections_5,cluster_0_detections_6,cluster_0_detections_7,cluster_0_detections_8,cluster_0_detections_9,cluster_0_detections_10,cluster_0_detections_11,cluster_0_detections_12,cluster_0_detections_13,cluster_0_detections_14,cluster_0_detections_15,cluster_1_detections_0,cluster_1_detections_1,cluster_1_detections_2,cluster_1_detections_3,cluster_1_detections_4,cluster_1_detections_5,cluster_1_detections_6,cluster_1_detections_7,cluster_1_detections_8,cluster_1_detections_9,cluster_1_detections_10,cluster_1_detections_11,cluster_1_detections_12,cluster_1_detections_13,cluster_1_detections_14,cluster_1_detections_15,cluster_2_detections_0,cluster_2_detections_1,cluster_2_detections_2,cluster_2_detections_3,cluster_2_detections_4,cluster_2_detections_5,cluster_2_detections_6,cluster_2_detections_7,cluster_2_detections_8,cluster_2_detections_9,cluster_2_detections_10,cluster_2_detections_11,cluster_2_detections_12,cluster_2_detections_13,cluster_2_detections_14,cluster_2_detections_15,cluster_3_detections_0,cluster_3_detections_1,cluster_3_detections_2,cluster_3_detections_3,cluster_3_detections_4,cluster_3_detections_5,cluster_3_detections_6,cluster_3_detections_7,cluster_3_detections_8,cluster_3_detections_9,cluster_3_detections_10,cluster_3_detections_11,cluster_3_detections_12,cluster_3_detections_13,cluster_3_detections_14,cluster_3_detections_15,cluster_4_detections_0,cluster_4_detections_1,cluster_4_detections_2,cluster_4_detections_3,cluster_4_detections_4,cluster_4_detections_5,cluster_4_detections_6,cluster_4_detections_7,cluster_4_detections_8,cluster_4_detections_9,cluster_4_detections_10,cluster_4_detections_11,cluster_4_detections_12,cluster_4_detections_13,cluster_4_detections_14,cluster_4_detections_15,cluster_5_detections_0,cluster_5_detections_1,cluster_5_detections_2,cluster_5_detections_3,cluster_5_detections_4,cluster_5_detections_5,cluster_5_detections_6,cluster_5_detections_7,cluster_5_detections_8,cluster_5_detections_9,cluster_5_detections_10,cluster_5_detections_11,cluster_5_detections_12,cluster_5_detections_13,cluster_5_detections_14,cluster_5_detections_15,cluster_6_detections_0,cluster_6_detections_1,cluster_6_detections_2,cluster_6_detections_3,cluster_6_detections_4,cluster_6_detections_5,cluster_6_detections_6,cluster_6_detections_7,cluster_6_detections_8,cluster_6_detections_9,cluster_6_detections_10,cluster_6_detections_11,cluster_6_detections_12,cluster_6_detections_13,cluster_6_detections_14,cluster_6_detections_15,cluster_7_detections_0,cluster_7_detections_1,cluster_7_detections_2,cluster_7_detections_3,cluster_7_detections_4,cluster_7_detections_5,cluster_7_detections_6,cluster_7_detections_7,cluster_7_detections_8,cluster_7_detections_9,cluster_7_detections_10,cluster_7_detections_11,cluster_7_detections_12,cluster_7_detections_13,cluster_7_detections_14,cluster_7_detections_15,cluster_qualified_0,cluster_qualified_1,cluster_qualified_2,cluster_qualified_3,cluster_qualified_4,cluster_qualified_5,cluster_qualified_6,cluster_qualified_7,alignment_index,look_index,error_status_stage_age,n_updates_azimuth_initial,n_updates_elevation_initial,n_updates_azimuth,n_updates_elevation,n_updates_yawrate_bias_est,raw_speed,estimated_speed,raw_yawrate,estimated_yawrate,estimated_yaw_rate_bias,vcs_sensor_long_posn,vcs_sensor_lat_posn,sensor_height_over_ground,vwrapping,vacs_boresight_az_nominal,vacs_boresight_az_initial,vacs_boresight_az_kf_internal,vacs_boresight_az_estimated,vacs_boresight_az_variance,vacs_boresight_el_msmt,vacs_boresight_el_nominal,vacs_boresight_el_initial,vacs_boresight_el_kf_internal,vacs_boresight_el_estimated,vacs_boresight_el_variance,vacs_boresight_roll_nominal,speed_compensation_factor_initial,speed_compensation_factor_estimated,az_scf_kf_covariance_0,az_scf_kf_covariance_1,az_scf_kf_covariance_2,az_scf_kf_covariance_3,el_kf_covariance,avg_spd_since_start,avg_spd_running_az_scf,avg_spd_running_el,total_time_running_az_scf,total_time_running_el,total_time_since_start,total_distance_running_az_scf,total_distance_running_el,total_distance_since_start,alignment_complete_percent_az,alignment_complete_percent_el,estimated_standard_deviation_az,estimated_standard_deviation_el,estimated_pos_error_bound_az,estimated_neg_error_bound_az,estimated_pos_error_bound_el,estimated_neg_error_bound_el,alignment_mode,mounting_location,azimuth_estimation_qf,elevation_estimation_qf,scf_estimation_qf,error_status_combined,error_status_initialization,error_status_excessive_blockage,error_status_interference,error_status_detection_input,error_status_vehicle_input,error_status_scf_out_of_bounds,error_status_az_est_out_of_bounds,error_status_el_est_out_of_bounds,blockage_value,blockage_status,detection_coordinate_system,version_major,version_minor,version_patch,
848,0,0,14595,0,0,2,4,5,7,51,53,0,0,0.748880,0.644303,0.487110,0.427876,0.103683,-0.261066,0.000000,0.000000,0.748880,0.644303,0.487110,0.427876,0.103683,-0.261066,0.000000,0.000000,0.034025,0.030336,0.012968,0.012863,0.288988,0.284472,0.000000,0.000000,0.034025,0.030336,0.012968,0.012863,0.288988,0.284472,0.000000,0.000000,297802932,47,-2147352320,2143854596,1077150080,-1606409715,-2113878715,16780305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14594,14595,0,0,0,702,316,11671,17.510000,17.507652,0.000000,0.005063,-0.002709,-0.037000,-0.000000,0.694000,30.657413,-0.000000,0.007285,0.012195,0.011641,0.000000,0.000000,-0.000000,0.023890,0.033456,0.028784,0.001559,3.141000,1.000000,0.995944,0.282372,0.159044,0.159044,0.723702,13.663421,6.418368,15.213952,15.670559,35.099751,15.800042,123.852959,534.005920,247.595490,794.933838,0.000000,0.000000,0.000262,0.039479,0.012427,0.010856,0.147220,-0.089653,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14596,0,0,5,0,0,0,0,0,0,0,0.679305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.679305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031716,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031716,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-34732512,65,69206020,50968448,-1031734272,-1888186880,0,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14595,14596,0,0,0,703,316,11671,17.459999,17.502886,-0.005000,0.003592,-0.002709,-0.037000,-0.000000,0.694000,36.204960,-0.000000,0.007285,0.012187,0.011642,0.000000,0.000000,-0.000000,0.023890,0.033456,0.028784,0.001559,3.141000,1.000000,0.995935,0.282396,0.158767,0.158767,0.723199,13.663421,6.422841,15.217208,15.670559,35.149750,15.800042,123.902962,534.881042,247.595490,795.808960,0.000000,0.000000,0.000262,0.039479,0.012428,0.010857,0.147220,-0.089653,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14597,0,0,0,4,6,53,56,70,0,0,-0.307020,0.718743,0.505590,-0.170448,-0.201968,-0.253062,0.000000,0.000000,-0.307020,0.718743,0.505590,-0.170448,-0.201968,-0.253062,0.000000,0.000000,0.043842,0.033770,0.010771,0.196347,-0.290303,0.153103,0.000000,0.000000,0.043842,0.033770,0.010771,0.196347,-0.290303,0.153103,0.000000,0.000000,-1138740655,2246,134218496,13558784,-2138898432,1049604,-939524031,270143250,4194305,49536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14596,14597,0,0,0,704,316,11671,17.510000,17.503597,0.000000,0.003415,-0.002709,-0.037000,-0.000000,0.694000,31.640507,-0.000000,0.007285,0.012174,0.011644,0.000000,0.000000,-0.000000,0.023890,0.033456,0.028784,0.001559,3.141000,1.000000,0.995921,0.282468,0.158689,0.158690,0.722694,13.663421,6.427310,15.220456,15.670559,35.199749,15.800042,123.952965,535.756226,247.595490,796.684143,0.000000,0.000000,0.000262,0.039479,0.012429,0.010859,0.147220,-0.089653,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14598,0,0,0,3,41,0,0,0,0,0,-0.336362,0.762475,-0.544708,0.000000,0.000000,0.000000,0.000000,0.000000,-0.336362,0.762475,-0.544708,0.000000,0.000000,0.000000,0.000000,0.000000,0.042926,0.030706,-0.137795,0.000000,0.000000,0.000000,0.000000,0.000000,0.042926,0.030706,-0.137795,0.000000,0.000000,0.000000,0.000000,0.000000,685836809,16,2367616,5764118,629329920,676263428,251658272,0,402653184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14597,14598,0,0,0,705,316,11671,17.500000,17.503237,0.000000,0.003274,-0.002709,-0.037000,-0.000000,0.694000,35.682961,-0.000000,0.007285,0.012166,0.011645,0.000000,0.000000,-0.000000,0.023890,0.033456,0.028784,0.001559,3.141000,1.000000,0.995914,0.282577,0.158502,0.158503,0.722363,13.663421,6.431776,15.223695,15.670559,35.249748,15.800042,124.002968,536.631409,247.595490,797.559326,0.000000,0.000000,0.000262,0.039479,0.012431,0.010860,0.147220,-0.089653,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14599,0,0,1,5,61,62,65,0,0,0,-0.377699,0.811607,-0.225536,-0.190719,-0.332123,0.000000,0.000000,0.000000,-0.377699,0.811607,-0.225536,-0.190719,-0.332123,0.000000,0.000000,0.000000,0.042489,0.031518,0.277513,-0.160544,0.123618,0.000000,0.000000,0.000000,0.042489,0.031518,0.277513,-0.160544,0.123618,0.000000,0.000000,0.000000,521306112,278792,536870962,16843772,1008207264,137871376,131072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14598,14599,0,0,0,706,316,11671,17.690001,17.521912,0.000000,0.003161,-0.002709,-0.037000,-0.000000,0.694000,30.657413,-0.000000,0.007285,0.012156,0.011647,0.000000,0.000000,-0.000000,0.023890,0.033456,0.028784,0.001559,3.141000,1.000000,0.995894,0.282633,0.158252,0.158253,0.722276,13.663421,6.436246,15.226951,15.670559,35.299747,15.800042,124.052971,537.507507,247.595490,798.435425,0.000000,0.000000,0.000262,0.039479,0.012432,0.010861,0.147220,-0.089653,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14600,0,0,0,53,55,83,84,0,0,0,-0.429109,-0.253366,-0.232360,-0.342731,0.149509,0.000000,0.000000,0.000000,-0.429109,-0.253366,-0.232360,-0.342731,0.149509,0.000000,0.000000,0.000000,0.091889,0.195302,0.254443,-0.141423,0.181749,0.000000,0.000000,0.000000,0.091889,0.195302,0.254443,-0.141423,0.181749,0.000000,0.000000,0.000000,-538574336,1025,-2147479552,2088833024,1715470376,1621378560,76066,1049088,262144,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14599,14600,0,0,0,707,316,11671,17.510000,17.520720,0.005000,0.004071,-0.002709,-0.037000,-0.000000,0.694000,36.204960,-0.000000,0.007285,0.012153,0.011648,0.000000,0.000000,-0.000000,0.023890,0.033456,0.028784,0.001559,3.141000,1.000000,0.995888,0.282818,0.158087,0.158087,0.722310,13.663421,6.440711,15.230195,15.670559,35.349747,15.800042,124.102974,538.383545,247.595490,799.311462,0.000000,0.000000,0.000262,0.039479,0.012433,0.010863,0.147220,-0.089653,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14601,0,0,0,12,61,63,0,0,0,0,-0.488628,-0.354472,-0.568756,-0.218504,0.000000,0.000000,0.000000,0.000000,-0.488628,-0.354472,-0.568756,-0.218504,0.000000,0.000000,0.000000,0.000000,0.098754,-0.107528,0.155126,-0.259706,0.000000,0.000000,0.000000,0.000000,0.098754,-0.107528,0.155126,-0.259706,0.000000,0.000000,0.000000,0.000000,538284032,44178,134219776,4338,1015808,1132860416,10781,33556736,147585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14600,14601,0,0,0,708,316,11671,17.770000,17.545647,0.005000,0.004798,-0.002709,-0.037000,-0.000000,0.694000,31.640507,-0.000000,0.007285,0.012130,0.011649,0.000000,0.000000,-0.000000,0.023890,0.033456,0.028784,0.001559,3.141000,1.000000,0.995851,0.282689,0.157706,0.157706,0.721914,13.663421,6.445184,15.233465,15.670559,35.399746,15.800042,124.152977,539.260803,247.595490,800.188721,0.000000,0.000000,0.000262,0.039479,0.012435,0.010864,0.147220,-0.089653,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14602,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1631846528,512,134221056,17509350,201326592,281338880,1610612802,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14601,14602,0,0,0,709,316,11671,17.440001,17.535082,0.010000,0.006380,-0.002709,-0.037000,-0.000000,0.694000,35.682961,-0.000000,0.007285,0.012131,0.011651,0.000000,0.000000,-0.000000,0.023890,0.033456,0.028784,0.001559,3.141000,1.000000,0.995853,0.282745,0.157467,0.157467,0.721856,13.663421,6.449648,15.236712,15.670559,35.449745,15.800042,124.202980,540.137573,247.595490,801.065491,0.000000,0.000000,0.000262,0.039479,0.012436,0.010865,0.147220,-0.089653,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14603,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2010120448,32776,-805306072,440200,1292337152,163586048,278988800,256,131072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14602,14603,0,0,0,710,316,11671,17.580000,17.539574,0.010000,0.007646,-0.002709,-0.037000,-0.000000,0.694000,30.657413,-0.000000,0.007285,0.012128,0.011652,0.000000,0.000000,-0.000000,0.023890,0.033456,0.028784,0.001559,3.141000,1.000000,0.995848,0.282844,0.157383,0.157383,0.721767,13.663421,6.454110,15.239956,15.670559,35.499744,15.800042,124.252983,541.014526,247.595490,801.942444,0.000000,0.000000,0.000262,0.039479,0.012437,0.010866,0.147220,-0.089653,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14604,0,0,0,11,0,0,0,0,0,0,-0.530979,-0.404262,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.530979,-0.404262,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.098901,0.100343,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.098901,0.100343,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1283958784,8197,537395200,7864487,1744830480,-1588312960,16386,1179712,917504,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14603,14604,0,0,0,711,316,11671,17.609999,17.546616,0.005000,0.007659,-0.002709,-0.037000,-0.000000,0.694000,36.204960,-0.000000,0.007285,0.012123,0.011653,0.000000,0.000000,-0.000000,0.023890,0.033456,0.028784,0.001559,3.141000,1.000000,0.995842,0.282854,0.157171,0.157172,0.721475,13.663421,6.458572,15.243199,15.670559,35.549744,15.800042,124.302986,541.891846,247.595490,802.819763,0.000000,0.000000,0.000262,0.039479,0.012438,0.010868,0.147220,-0.089653,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
