size,version,checksum,scan_index,error_info,module_time_ms,det_id_0,det_id_1,det_id_2,det_id_3,det_id_4,det_id_5,det_id_6,det_id_7,det_az_raw_0,det_az_raw_1,det_az_raw_2,det_az_raw_3,det_az_raw_4,det_az_raw_5,det_az_raw_6,det_az_raw_7,det_az_vacs_0,det_az_vacs_1,det_az_vacs_2,det_az_vacs_3,det_az_vacs_4,det_az_vacs_5,det_az_vacs_6,det_az_vacs_7,det_el_raw_0,det_el_raw_1,det_el_raw_2,det_el_raw_3,det_el_raw_4,det_el_raw_5,det_el_raw_6,det_el_raw_7,det_el_vacs_0,det_el_vacs_1,det_el_vacs_2,det_el_vacs_3,det_el_vacs_4,det_el_vacs_5,det_el_vacs_6,det_el_vacs_7,detection_used_az_0,detection_used_az_1,detection_used_az_2,detection_used_az_3,detection_used_az_4,detection_used_az_5,detection_used_az_6,detection_used_az_7,detection_used_az_8,detection_used_az_9,detection_used_az_10,detection_used_az_11,detection_used_az_12,detection_used_az_13,detection_used_az_14,detection_used_az_15,detection_used_az_16,detection_used_az_17,detection_used_az_18,detection_used_az_19,detection_used_az_20,detection_used_az_21,detection_used_az_22,detection_used_az_23,detection_used_el_0,detection_used_el_1,detection_used_el_2,detection_used_el_3,detection_used_el_4,detection_used_el_5,detection_used_el_6,detection_used_el_7,detection_used_el_8,detection_used_el_9,detection_used_el_10,detection_used_el_11,detection_used_el_12,detection_used_el_13,detection_used_el_14,detection_used_el_15,detection_used_el_16,detection_used_el_17,detection_used_el_18,detection_used_el_19,detection_used_el_20,detection_used_el_21,detection_used_el_22,detection_used_el_23,cluster_0_detections_0,cluster_0_detections_1,cluster_0_detections_2,cluster_0_detections_3,cluster_0_detections_4,cluster_0_detections_5,cluster_0_detections_6,cluster_0_detections_7,cluster_0_detections_8,cluster_0_detections_9,cluster_0_detections_10,cluster_0_detections_11,cluster_0_detections_12,cluster_0_detections_13,cluster_0_detections_14,cluster_0_detections_15,cluster_1_detections_0,cluster_1_detections_1,cluster_1_detections_2,cluster_1_detections_3,cluster_1_detections_4,cluster_1_detections_5,cluster_1_detections_6,cluster_1_detections_7,cluster_1_detections_8,cluster_1_detections_9,cluster_1_detections_10,cluster_1_detections_11,cluster_1_detections_12,cluster_1_detections_13,cluster_1_detections_14,cluster_1_detections_15,cluster_2_detections_0,cluster_2_detections_1,cluster_2_detections_2,cluster_2_detections_3,cluster_2_detections_4,cluster_2_detections_5,cluster_2_detections_6,cluster_2_detections_7,cluster_2_detections_8,cluster_2_detections_9,cluster_2_detections_10,cluster_2_detections_11,cluster_2_detections_12,cluster_2_detections_13,cluster_2_detections_14,cluster_2_detections_15,cluster_3_detections_0,cluster_3_detections_1,cluster_3_detections_2,cluster_3_detections_3,cluster_3_detections_4,cluster_3_detections_5,cluster_3_detections_6,cluster_3_detections_7,cluster_3_detections_8,cluster_3_detections_9,cluster_3_detections_10,cluster_3_detections_11,cluster_3_detections_12,cluster_3_detections_13,cluster_3_detections_14,cluster_3_detections_15,cluster_4_detections_0,cluster_4_detections_1,cluster_4_detections_2,cluster_4_detections_3,cluster_4_detections_4,cluster_4_detections_5,cluster_4_detections_6,cluster_4_detections_7,cluster_4_detections_8,cluster_4_detections_9,cluster_4_detections_10,cluster_4_detections_11,cluster_4_detections_12,cluster_4_detections_13,cluster_4_detections_14,cluster_4_detections_15,cluster_5_detections_0,cluster_5_detections_1,cluster_5_detections_2,cluster_5_detections_3,cluster_5_detections_4,cluster_5_detections_5,cluster_5_detections_6,cluster_5_detections_7,cluster_5_detections_8,cluster_5_detections_9,cluster_5_detections_10,cluster_5_detections_11,cluster_5_detections_12,cluster_5_detections_13,cluster_5_detections_14,cluster_5_detections_15,cluster_6_detections_0,cluster_6_detections_1,cluster_6_detections_2,cluster_6_detections_3,cluster_6_detections_4,cluster_6_detections_5,cluster_6_detections_6,cluster_6_detections_7,cluster_6_detections_8,cluster_6_detections_9,cluster_6_detections_10,cluster_6_detections_11,cluster_6_detections_12,cluster_6_detections_13,cluster_6_detections_14,cluster_6_detections_15,cluster_7_detections_0,cluster_7_detections_1,cluster_7_detections_2,cluster_7_detections_3,cluster_7_detections_4,cluster_7_detections_5,cluster_7_detections_6,cluster_7_detections_7,cluster_7_detections_8,cluster_7_detections_9,cluster_7_detections_10,cluster_7_detections_11,cluster_7_detections_12,cluster_7_detections_13,cluster_7_detections_14,cluster_7_detections_15,cluster_qualified_0,cluster_qualified_1,cluster_qualified_2,cluster_qualified_3,cluster_qualified_4,cluster_qualified_5,cluster_qualified_6,cluster_qualified_7,alignment_index,look_index,error_status_stage_age,n_updates_azimuth_initial,n_updates_elevation_initial,n_updates_azimuth,n_updates_elevation,n_updates_yawrate_bias_est,raw_speed,estimated_speed,raw_yawrate,estimated_yawrate,estimated_yaw_rate_bias,vcs_sensor_long_posn,vcs_sensor_lat_posn,sensor_height_over_ground,vwrapping,vacs_boresight_az_nominal,vacs_boresight_az_initial,vacs_boresight_az_kf_internal,vacs_boresight_az_estimated,vacs_boresight_az_variance,vacs_boresight_el_msmt,vacs_boresight_el_nominal,vacs_boresight_el_initial,vacs_boresight_el_kf_internal,vacs_boresight_el_estimated,vacs_boresight_el_variance,vacs_boresight_roll_nominal,speed_compensation_factor_initial,speed_compensation_factor_estimated,az_scf_kf_covariance_0,az_scf_kf_covariance_1,az_scf_kf_covariance_2,az_scf_kf_covariance_3,el_kf_covariance,avg_spd_since_start,avg_spd_running_az_scf,avg_spd_running_el,total_time_running_az_scf,total_time_running_el,total_time_since_start,total_distance_running_az_scf,total_distance_running_el,total_distance_since_start,alignment_complete_percent_az,alignment_complete_percent_el,estimated_standard_deviation_az,estimated_standard_deviation_el,estimated_pos_error_bound_az,estimated_neg_error_bound_az,estimated_pos_error_bound_el,estimated_neg_error_bound_el,alignment_mode,mounting_location,azimuth_estimation_qf,elevation_estimation_qf,scf_estimation_qf,error_status_combined,error_status_initialization,error_status_excessive_blockage,error_status_interference,error_status_detection_input,error_status_vehicle_input,error_status_scf_out_of_bounds,error_status_az_est_out_of_bounds,error_status_el_est_out_of_bounds,blockage_value,blockage_status,detection_coordinate_system,version_major,version_minor,version_patch,
848,0,0,14596,0,0,1,6,7,8,9,12,13,14,0.199505,0.430960,-0.431455,-0.501076,-0.559682,-0.636430,-0.605163,-0.652899,1.842535,1.611080,2.473495,2.543116,2.601722,2.678470,2.647203,2.694939,-0.223583,-0.025145,-0.049291,-0.008125,-0.020257,-0.125644,-0.064149,-0.044142,0.223583,0.025145,0.049291,0.008125,0.020257,0.125644,0.064149,0.044142,-536939648,-1443383361,-268435523,-1078460449,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14595,14596,0,0,0,701,294,10996,17.459999,17.502640,-0.005000,0.004137,-0.002784,-5.174000,0.864000,0.679000,37.174530,2.042040,2.042040,2.034900,2.035781,0.000000,0.000000,-0.000000,0.000000,0.020087,0.012171,0.002082,0.000000,1.000000,0.995459,0.230541,-0.117205,-0.117205,0.445327,13.699795,6.419451,15.220903,16.387529,35.049751,14.700038,123.852959,533.488892,240.897293,795.068054,0.000000,0.000000,0.000262,0.045627,2.036566,2.034996,0.149050,-0.124709,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14597,0,0,0,2,4,5,6,7,8,9,0.122371,-0.185975,0.329477,0.503393,0.121811,0.663352,0.599678,0.611233,1.919669,2.228015,1.712563,1.538647,1.920229,1.378688,1.442363,1.430807,-0.096877,-0.021559,-0.024298,-0.015511,0.396891,-0.027761,-0.019964,0.226492,0.096877,0.021559,0.024298,0.015511,-0.396891,0.027761,0.019964,-0.226492,-9438203,-201462789,-36,-131075,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14596,14597,0,0,0,702,294,10996,17.510000,17.503376,0.000000,0.003867,-0.002784,-5.174000,0.864000,0.679000,32.172474,2.042040,2.042040,2.034904,2.035779,0.000000,0.000000,-0.000000,0.000000,0.020087,0.012171,0.002082,0.000000,1.000000,0.995464,0.230777,-0.117353,-0.117353,0.445388,13.699795,6.423924,15.224156,16.387529,35.099751,14.700038,123.902962,534.364075,240.897293,795.943237,0.000000,0.000000,0.000262,0.045627,2.036564,2.034994,0.149050,-0.124709,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14598,0,0,2,4,5,6,7,8,9,10,0.049762,-0.239236,-0.391949,0.286298,0.399258,0.447543,0.585247,-0.407184,1.992278,2.281276,2.433989,1.755743,1.642782,1.594497,1.456793,2.449224,-0.179205,-0.021331,-0.107635,0.056367,0.001641,-0.002366,0.020811,0.015965,0.179205,0.021331,0.107635,-0.056367,-0.001641,0.002366,-0.020811,-0.015965,-428082128,1866170367,-16777219,-4915201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14597,14598,0,0,0,703,294,10996,17.500000,17.503038,0.000000,0.003650,-0.002784,-5.174000,0.864000,0.679000,36.029621,2.042040,2.042040,2.034913,2.035776,0.000000,0.000000,-0.000000,0.000000,0.020087,0.012171,0.002082,0.000000,1.000000,0.995473,0.230856,-0.117365,-0.117365,0.445130,13.699795,6.428393,15.227397,16.387529,35.149750,14.700038,123.952965,535.239197,240.897293,796.818359,0.000000,0.000000,0.000262,0.045627,2.036562,2.034991,0.149050,-0.124709,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14599,0,0,2,4,6,7,8,9,10,11,-0.027360,-0.163066,-0.287267,0.270091,0.462375,0.179723,0.737164,-0.525019,2.069400,2.205106,2.329307,1.771949,1.579665,1.862318,1.304876,2.567059,-0.109354,-0.044810,0.025282,0.094743,-0.041995,-0.055453,0.032918,-0.028078,0.109354,0.044810,-0.025282,-0.094743,0.041995,0.055453,-0.032918,0.028078,-268435884,-771883010,-17,-1002442753,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14598,14599,0,0,0,704,294,10996,17.690001,17.521734,0.000000,0.003477,-0.002784,-5.174000,0.864000,0.679000,30.906456,2.042040,2.042040,2.034905,2.035774,0.000000,0.000000,-0.000000,0.000000,0.020087,0.012171,0.002082,0.000000,1.000000,0.995428,0.230935,-0.117481,-0.117481,0.444903,13.699795,6.432866,15.230657,16.387529,35.199749,14.700038,124.002968,536.115295,240.897293,797.694458,0.000000,0.000000,0.000262,0.045627,2.036560,2.034989,0.149050,-0.124709,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14600,0,0,1,2,5,6,7,8,9,10,-0.092331,-0.343240,-0.332212,0.327582,0.538225,0.668260,0.800734,-0.488070,2.134372,2.385281,2.374252,1.714458,1.503815,1.373780,1.241306,2.530110,-0.088276,-0.087005,-0.062364,-0.029109,-0.010983,0.028097,-0.021631,-0.112009,0.088276,0.087005,0.062364,0.029109,0.010983,-0.028097,0.021631,0.112009,2079850022,-1952796961,-8389271,2022178811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14599,14600,0,0,0,705,294,10996,17.510000,17.520561,0.005000,0.004338,-0.002784,-5.174000,0.864000,0.679000,37.174530,2.042040,2.042040,2.034911,2.035772,0.000000,0.000000,-0.000000,0.000000,0.020087,0.012171,0.002082,0.000000,1.000000,0.995435,0.230998,-0.117619,-0.117619,0.444745,13.699795,6.437335,15.233906,16.387529,35.249748,14.700038,124.052971,536.991333,240.897293,798.570496,0.000000,0.000000,0.000262,0.045627,2.036557,2.034987,0.149050,-0.124709,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14601,0,0,1,2,3,4,5,6,9,10,-0.153832,-0.374120,-0.503397,0.165201,0.856423,0.721378,0.833318,0.472562,2.195872,2.416160,2.545437,1.876839,1.185617,1.320662,1.208722,1.569479,-0.084894,-0.010871,-0.048938,0.003862,0.237860,-0.077835,-0.030575,0.232097,0.084894,0.010871,0.048938,-0.003862,-0.237860,0.077835,0.030575,-0.232097,-1798047202,1324849151,-68157445,2000674815,65526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14600,14601,0,0,0,706,294,10996,17.510000,17.519505,0.005000,0.005027,-0.002784,-5.174000,0.864000,0.679000,32.172474,2.042040,2.042040,2.034926,2.035770,0.000000,0.000000,-0.000000,0.000000,0.020087,0.012171,0.002082,0.000000,1.000000,0.995444,0.231151,-0.117698,-0.117698,0.444678,13.699795,6.441800,15.237144,16.387529,35.299747,14.700038,124.102974,537.867310,240.897293,799.446472,0.000000,0.000000,0.000262,0.045627,2.036555,2.034985,0.149050,-0.124709,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14602,0,0,0,2,3,4,5,6,7,8,-0.210671,-0.318572,0.496047,-0.409628,0.959196,-0.549292,1.100589,-0.591577,2.252711,2.360613,1.545993,2.451668,1.082844,2.591332,0.941451,2.633617,-0.142623,-0.165641,-0.012968,-0.033583,0.005581,-0.073503,0.001311,-0.016090,0.142623,0.165641,0.012968,0.033583,-0.005581,0.073503,-0.001311,0.016090,-41951248,-1453916941,-1,-134218761,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14601,14602,0,0,0,707,294,10996,17.770000,17.544554,0.005000,0.005578,-0.002784,-5.174000,0.864000,0.679000,36.029621,2.042040,2.042040,2.034919,2.035768,0.000000,0.000000,-0.000000,0.000000,0.020087,0.012171,0.002082,0.000000,1.000000,0.995386,0.231223,-0.117743,-0.117743,0.444637,13.699795,6.446270,15.240406,16.387529,35.349747,14.700038,124.152977,538.744507,240.897293,800.323669,0.000000,0.000000,0.000262,0.045627,2.036553,2.034982,0.149050,-0.124709,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14603,0,0,4,5,6,7,8,9,10,11,-0.192228,-0.263674,0.476857,0.506968,-0.446926,-0.581112,0.386163,-0.214166,2.234268,2.305714,1.565183,1.535072,2.488966,2.623152,1.655877,2.256206,-0.117421,-0.092324,-0.018186,-0.012566,0.016010,-0.026615,-0.138555,0.071687,0.117421,0.092324,0.018186,0.012566,-0.016010,0.026615,0.138555,-0.071687,-134673616,1807739903,2147448798,-141557889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14602,14603,0,0,0,708,294,10996,17.440001,17.534098,0.010000,0.007020,-0.002784,-5.174000,0.864000,0.679000,30.906456,2.042040,2.042040,2.034931,2.035765,0.000000,0.000000,-0.000000,0.000000,0.020087,0.012171,0.002082,0.000000,1.000000,0.995411,0.231363,-0.117953,-0.117953,0.444821,13.699795,6.450734,15.243647,16.387529,35.399746,14.700038,124.202980,539.621216,240.897293,801.200378,0.000000,0.000000,0.000262,0.045627,2.036551,2.034980,0.149050,-0.124709,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14604,0,0,3,4,5,6,7,8,9,10,-0.309175,-0.479052,1.023452,-0.219819,-0.598131,1.160134,-0.596270,0.721637,2.351215,2.521092,1.018588,2.261859,2.640171,0.881906,2.638310,1.320403,-0.110794,-0.015666,0.006840,-0.006908,0.012264,-0.002866,-0.072943,-0.100126,0.110794,0.015666,-0.006840,0.006908,-0.012264,0.002866,0.072943,0.100126,-1210065928,2006727165,-21024918,-398459137,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14603,14604,0,0,0,709,294,10996,17.580000,17.538687,0.010000,0.008172,-0.002784,-5.174000,0.864000,0.679000,37.174530,2.042040,2.042040,2.034936,2.035763,0.000000,0.000000,-0.000000,0.000000,0.020087,0.012171,0.002082,0.000000,1.000000,0.995405,0.231434,-0.118038,-0.118038,0.444810,13.699795,6.455196,15.246884,16.387529,35.449745,14.700038,124.252983,540.498169,240.897293,802.077332,0.000000,0.000000,0.000262,0.045627,2.036549,2.034978,0.149050,-0.124709,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14605,0,0,9,10,11,12,13,14,15,18,-0.357157,0.474487,0.489434,0.530423,-0.507329,0.989201,-0.260629,1.122888,2.399197,1.567554,1.552606,1.511617,2.549369,1.052839,2.302670,0.919152,-0.087752,-0.018626,-0.003523,0.011810,-0.026328,-0.031701,-0.046512,-0.037301,0.087752,0.018626,0.003523,-0.011810,0.026328,0.031701,0.046512,0.037301,-204288,-1079574593,-599,-878444547,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14604,14605,0,0,0,710,294,10996,17.609999,17.545818,0.005000,0.008095,-0.002784,-5.174000,0.864000,0.679000,32.172474,2.042040,2.042040,2.034937,2.035761,0.000000,0.000000,-0.000000,0.000000,0.020087,0.012171,0.002082,0.000000,1.000000,0.995384,0.231433,-0.118132,-0.118132,0.444834,13.699795,6.459657,15.250124,16.387529,35.499744,14.700038,124.302986,541.375488,240.897293,802.954651,0.000000,0.000000,0.000262,0.045627,2.036546,2.034976,0.149050,-0.124709,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
