size,version,checksum,scan_index,error_info,module_time_ms,det_id_0,det_id_1,det_id_2,det_id_3,det_id_4,det_id_5,det_id_6,det_id_7,det_az_raw_0,det_az_raw_1,det_az_raw_2,det_az_raw_3,det_az_raw_4,det_az_raw_5,det_az_raw_6,det_az_raw_7,det_az_vacs_0,det_az_vacs_1,det_az_vacs_2,det_az_vacs_3,det_az_vacs_4,det_az_vacs_5,det_az_vacs_6,det_az_vacs_7,det_el_raw_0,det_el_raw_1,det_el_raw_2,det_el_raw_3,det_el_raw_4,det_el_raw_5,det_el_raw_6,det_el_raw_7,det_el_vacs_0,det_el_vacs_1,det_el_vacs_2,det_el_vacs_3,det_el_vacs_4,det_el_vacs_5,det_el_vacs_6,det_el_vacs_7,detection_used_az_0,detection_used_az_1,detection_used_az_2,detection_used_az_3,detection_used_az_4,detection_used_az_5,detection_used_az_6,detection_used_az_7,detection_used_az_8,detection_used_az_9,detection_used_az_10,detection_used_az_11,detection_used_az_12,detection_used_az_13,detection_used_az_14,detection_used_az_15,detection_used_az_16,detection_used_az_17,detection_used_az_18,detection_used_az_19,detection_used_az_20,detection_used_az_21,detection_used_az_22,detection_used_az_23,detection_used_el_0,detection_used_el_1,detection_used_el_2,detection_used_el_3,detection_used_el_4,detection_used_el_5,detection_used_el_6,detection_used_el_7,detection_used_el_8,detection_used_el_9,detection_used_el_10,detection_used_el_11,detection_used_el_12,detection_used_el_13,detection_used_el_14,detection_used_el_15,detection_used_el_16,detection_used_el_17,detection_used_el_18,detection_used_el_19,detection_used_el_20,detection_used_el_21,detection_used_el_22,detection_used_el_23,cluster_0_detections_0,cluster_0_detections_1,cluster_0_detections_2,cluster_0_detections_3,cluster_0_detections_4,cluster_0_detections_5,cluster_0_detections_6,cluster_0_detections_7,cluster_0_detections_8,cluster_0_detections_9,cluster_0_detections_10,cluster_0_detections_11,cluster_0_detections_12,cluster_0_detections_13,cluster_0_detections_14,cluster_0_detections_15,cluster_1_detections_0,cluster_1_detections_1,cluster_1_detections_2,cluster_1_detections_3,cluster_1_detections_4,cluster_1_detections_5,cluster_1_detections_6,cluster_1_detections_7,cluster_1_detections_8,cluster_1_detections_9,cluster_1_detections_10,cluster_1_detections_11,cluster_1_detections_12,cluster_1_detections_13,cluster_1_detections_14,cluster_1_detections_15,cluster_2_detections_0,cluster_2_detections_1,cluster_2_detections_2,cluster_2_detections_3,cluster_2_detections_4,cluster_2_detections_5,cluster_2_detections_6,cluster_2_detections_7,cluster_2_detections_8,cluster_2_detections_9,cluster_2_detections_10,cluster_2_detections_11,cluster_2_detections_12,cluster_2_detections_13,cluster_2_detections_14,cluster_2_detections_15,cluster_3_detections_0,cluster_3_detections_1,cluster_3_detections_2,cluster_3_detections_3,cluster_3_detections_4,cluster_3_detections_5,cluster_3_detections_6,cluster_3_detections_7,cluster_3_detections_8,cluster_3_detections_9,cluster_3_detections_10,cluster_3_detections_11,cluster_3_detections_12,cluster_3_detections_13,cluster_3_detections_14,cluster_3_detections_15,cluster_4_detections_0,cluster_4_detections_1,cluster_4_detections_2,cluster_4_detections_3,cluster_4_detections_4,cluster_4_detections_5,cluster_4_detections_6,cluster_4_detections_7,cluster_4_detections_8,cluster_4_detections_9,cluster_4_detections_10,cluster_4_detections_11,cluster_4_detections_12,cluster_4_detections_13,cluster_4_detections_14,cluster_4_detections_15,cluster_5_detections_0,cluster_5_detections_1,cluster_5_detections_2,cluster_5_detections_3,cluster_5_detections_4,cluster_5_detections_5,cluster_5_detections_6,cluster_5_detections_7,cluster_5_detections_8,cluster_5_detections_9,cluster_5_detections_10,cluster_5_detections_11,cluster_5_detections_12,cluster_5_detections_13,cluster_5_detections_14,cluster_5_detections_15,cluster_6_detections_0,cluster_6_detections_1,cluster_6_detections_2,cluster_6_detections_3,cluster_6_detections_4,cluster_6_detections_5,cluster_6_detections_6,cluster_6_detections_7,cluster_6_detections_8,cluster_6_detections_9,cluster_6_detections_10,cluster_6_detections_11,cluster_6_detections_12,cluster_6_detections_13,cluster_6_detections_14,cluster_6_detections_15,cluster_7_detections_0,cluster_7_detections_1,cluster_7_detections_2,cluster_7_detections_3,cluster_7_detections_4,cluster_7_detections_5,cluster_7_detections_6,cluster_7_detections_7,cluster_7_detections_8,cluster_7_detections_9,cluster_7_detections_10,cluster_7_detections_11,cluster_7_detections_12,cluster_7_detections_13,cluster_7_detections_14,cluster_7_detections_15,cluster_qualified_0,cluster_qualified_1,cluster_qualified_2,cluster_qualified_3,cluster_qualified_4,cluster_qualified_5,cluster_qualified_6,cluster_qualified_7,alignment_index,look_index,error_status_stage_age,n_updates_azimuth_initial,n_updates_elevation_initial,n_updates_azimuth,n_updates_elevation,n_updates_yawrate_bias_est,raw_speed,estimated_speed,raw_yawrate,estimated_yawrate,estimated_yaw_rate_bias,vcs_sensor_long_posn,vcs_sensor_lat_posn,sensor_height_over_ground,vwrapping,vacs_boresight_az_nominal,vacs_boresight_az_initial,vacs_boresight_az_kf_internal,vacs_boresight_az_estimated,vacs_boresight_az_variance,vacs_boresight_el_msmt,vacs_boresight_el_nominal,vacs_boresight_el_initial,vacs_boresight_el_kf_internal,vacs_boresight_el_estimated,vacs_boresight_el_variance,vacs_boresight_roll_nominal,speed_compensation_factor_initial,speed_compensation_factor_estimated,az_scf_kf_covariance_0,az_scf_kf_covariance_1,az_scf_kf_covariance_2,az_scf_kf_covariance_3,el_kf_covariance,avg_spd_since_start,avg_spd_running_az_scf,avg_spd_running_el,total_time_running_az_scf,total_time_running_el,total_time_since_start,total_distance_running_az_scf,total_distance_running_el,total_distance_since_start,alignment_complete_percent_az,alignment_complete_percent_el,estimated_standard_deviation_az,estimated_standard_deviation_el,estimated_pos_error_bound_az,estimated_neg_error_bound_az,estimated_pos_error_bound_el,estimated_neg_error_bound_el,alignment_mode,mounting_location,azimuth_estimation_qf,elevation_estimation_qf,scf_estimation_qf,error_status_combined,error_status_initialization,error_status_excessive_blockage,error_status_interference,error_status_detection_input,error_status_vehicle_input,error_status_scf_out_of_bounds,error_status_az_est_out_of_bounds,error_status_el_est_out_of_bounds,blockage_value,blockage_status,detection_coordinate_system,version_major,version_minor,version_patch,
848,0,0,14592,0,0,8,9,13,15,18,0,0,0,-0.179004,0.633893,0.553698,-0.690103,0.384538,0.000000,0.000000,0.000000,-0.179004,0.633893,0.553698,-0.690103,0.384538,0.000000,0.000000,0.000000,0.007512,0.027615,0.013926,-0.079953,0.000244,0.000000,0.000000,0.000000,0.007512,0.027615,0.013926,-0.079953,0.000244,0.000000,0.000000,0.000000,32809728,18240,-2147360768,311808,-66713600,4788304,268452608,16512,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3504,14592,0,0,0,699,316,1220,17.500000,17.502338,0.005000,0.007306,-0.002709,-0.037000,-0.000000,0.694000,36.204960,-0.000000,0.007285,0.012221,0.011636,0.000000,0.000000,-0.000000,0.023890,0.033456,0.028783,0.001559,3.141000,1.000000,0.995984,0.282393,0.159265,0.159265,0.725676,13.663421,6.404922,15.204108,15.670559,34.949753,15.800042,123.702950,531.379822,247.595490,792.307739,0.000000,0.000000,0.000262,0.039479,0.012421,0.010850,0.147220,-0.089653,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14593,0,0,3,4,5,7,8,11,0,0,-0.217683,-0.185732,0.667675,0.582875,-0.719151,0.412307,0.000000,0.000000,-0.217683,-0.185732,0.667675,0.582875,-0.719151,0.412307,0.000000,0.000000,0.013492,0.008004,0.036161,0.022045,-0.088708,0.028630,0.000000,0.000000,0.013492,0.008004,0.036161,0.022045,-0.088708,0.028630,0.000000,0.000000,-2147399240,76,10158144,787584,541384704,1753751615,330301456,-1851244544,67109024,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3505,14593,0,0,0,700,316,1220,17.549999,17.507103,0.000000,0.006387,-0.002709,-0.037000,-0.000000,0.694000,31.640507,-0.000000,0.007285,0.012216,0.011637,0.000000,0.000000,-0.000000,0.023890,0.033456,0.028783,0.001559,3.141000,1.000000,0.995969,0.282246,0.158902,0.158902,0.724737,13.663421,6.409408,15.207398,15.670559,34.999752,15.800042,123.752953,532.255188,247.595490,793.183105,0.000000,0.000000,0.000262,0.039479,0.012423,0.010852,0.147220,-0.089653,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14594,0,0,3,4,6,7,8,10,0,0,-0.197574,0.707471,0.610943,0.467814,0.426670,0.715561,0.000000,0.000000,-0.197574,0.707471,0.610943,0.467814,0.426670,0.715561,0.000000,0.000000,0.004556,0.027950,0.027059,0.008400,0.000716,-0.020538,0.000000,0.000000,0.004556,0.027950,0.027059,0.008400,0.000716,-0.020538,0.000000,0.000000,-1442519592,76,1210062848,-465562608,1828716551,673190996,-2080030669,273546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506,14594,0,0,0,701,316,1220,17.510000,17.507393,0.000000,0.005651,-0.002709,-0.037000,-0.000000,0.694000,35.682961,-0.000000,0.007285,0.012202,0.011639,0.000000,0.000000,-0.000000,0.023890,0.033456,0.028783,0.001559,3.141000,1.000000,0.995959,0.282284,0.159008,0.159008,0.724071,13.663421,6.413889,15.210680,15.670559,35.049751,15.800042,123.802956,533.130554,247.595490,794.058472,0.000000,0.000000,0.000262,0.039479,0.012424,0.010853,0.147220,-0.089653,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14595,0,0,2,4,5,7,51,53,0,0,0.748880,0.644303,0.487110,0.427876,0.103683,-0.261066,0.000000,0.000000,0.748880,0.644303,0.487110,0.427876,0.103683,-0.261066,0.000000,0.000000,0.034025,0.030336,0.012968,0.012863,0.288988,0.284472,0.000000,0.000000,0.034025,0.030336,0.012968,0.012863,0.288988,0.284472,0.000000,0.000000,297802932,47,-2147352320,2143854596,1077150080,-1606409715,-2113878715,16780305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3507,14595,0,0,0,702,316,1220,17.510000,17.507652,0.000000,0.005063,-0.002709,-0.037000,-0.000000,0.694000,30.657413,-0.000000,0.007285,0.012194,0.011640,0.000000,0.000000,-0.000000,0.023890,0.033456,0.028783,0.001559,3.141000,1.000000,0.995942,0.282346,0.158988,0.158988,0.723551,13.663421,6.418368,15.213952,15.670559,35.099751,15.800042,123.852959,534.005920,247.595490,794.933838,0.000000,0.000000,0.000262,0.039479,0.012426,0.010855,0.147220,-0.089653,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14596,0,0,5,0,0,0,0,0,0,0,0.679305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.679305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031716,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031716,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-34732512,65,69206020,50968448,-1031734272,-1888186880,0,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3508,14596,0,0,0,703,316,1220,17.459999,17.502886,-0.005000,0.003592,-0.002709,-0.037000,-0.000000,0.694000,36.204960,-0.000000,0.007285,0.012185,0.011642,0.000000,0.000000,-0.000000,0.023890,0.033456,0.028783,0.001559,3.141000,1.000000,0.995934,0.282370,0.158711,0.158712,0.723049,13.663421,6.422841,15.217208,15.670559,35.149750,15.800042,123.902962,534.881042,247.595490,795.808960,0.000000,0.000000,0.000262,0.039479,0.012427,0.010856,0.147220,-0.089653,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14597,0,0,0,4,6,53,56,70,0,0,-0.307020,0.718743,0.505590,-0.170466,-0.201968,-0.253062,0.000000,0.000000,-0.307020,0.718743,0.505590,-0.170466,-0.201968,-0.253062,0.000000,0.000000,0.043842,0.033770,0.010771,0.196398,-0.290303,0.153103,0.000000,0.000000,0.043842,0.033770,0.010771,0.196398,-0.290303,0.153103,0.000000,0.000000,-1138740655,2246,134218496,13558784,-2138898432,1049604,-939524031,270143250,4194305,49536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3509,14597,0,0,0,704,316,1220,17.510000,17.503597,0.000000,0.003415,-0.002709,-0.037000,-0.000000,0.694000,31.640507,-0.000000,0.007285,0.012171,0.011643,0.000000,0.000000,-0.000000,0.023890,0.033456,0.028783,0.001559,3.141000,1.000000,0.995920,0.282442,0.158634,0.158634,0.722544,13.663421,6.427310,15.220456,15.670559,35.199749,15.800042,123.952965,535.756226,247.595490,796.684143,0.000000,0.000000,0.000262,0.039479,0.012428,0.010858,0.147220,-0.089653,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14598,0,0,0,3,41,0,0,0,0,0,-0.336362,0.762475,-0.544708,0.000000,0.000000,0.000000,0.000000,0.000000,-0.336362,0.762475,-0.544708,0.000000,0.000000,0.000000,0.000000,0.000000,0.042926,0.030706,-0.137795,0.000000,0.000000,0.000000,0.000000,0.000000,0.042926,0.030706,-0.137795,0.000000,0.000000,0.000000,0.000000,0.000000,685836809,16,2367616,5764118,629329920,676263428,251658272,0,402653184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3510,14598,0,0,0,705,316,1220,17.500000,17.503237,0.000000,0.003274,-0.002709,-0.037000,-0.000000,0.694000,35.682961,-0.000000,0.007285,0.012164,0.011645,0.000000,0.000000,-0.000000,0.023890,0.033456,0.028783,0.001559,3.141000,1.000000,0.995912,0.282551,0.158447,0.158447,0.722214,13.663421,6.431776,15.223695,15.670559,35.249748,15.800042,124.002968,536.631409,247.595490,797.559326,0.000000,0.000000,0.000262,0.039479,0.012430,0.010859,0.147220,-0.089653,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14599,0,0,1,5,61,62,65,0,0,0,-0.377699,0.811607,-0.225536,-0.190741,-0.332123,0.000000,0.000000,0.000000,-0.377699,0.811607,-0.225536,-0.190741,-0.332123,0.000000,0.000000,0.000000,0.042489,0.031517,0.277513,-0.160534,0.123618,0.000000,0.000000,0.000000,0.042489,0.031517,0.277513,-0.160534,0.123618,0.000000,0.000000,0.000000,521306112,278792,536870962,16843772,1008207264,137871376,131072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3511,14599,0,0,0,706,316,1220,17.690001,17.521912,0.000000,0.003161,-0.002709,-0.037000,-0.000000,0.694000,30.657413,-0.000000,0.007285,0.012154,0.011646,0.000000,0.000000,-0.000000,0.023890,0.033456,0.028783,0.001559,3.141000,1.000000,0.995893,0.282608,0.158197,0.158197,0.722127,13.663421,6.436246,15.226951,15.670559,35.299747,15.800042,124.052971,537.507507,247.595490,798.435425,0.000000,0.000000,0.000262,0.039479,0.012431,0.010860,0.147220,-0.089653,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14600,0,0,0,53,55,83,84,0,0,0,-0.429109,-0.253326,-0.232360,-0.342730,0.149511,0.000000,0.000000,0.000000,-0.429109,-0.253326,-0.232360,-0.342730,0.149511,0.000000,0.000000,0.000000,0.091889,0.195228,0.254443,-0.141439,0.181745,0.000000,0.000000,0.000000,0.091889,0.195228,0.254443,-0.141439,0.181745,0.000000,0.000000,0.000000,-538574336,1025,-2147479552,2088833024,1715470376,1621378560,76066,1049088,262144,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3512,14600,0,0,0,707,316,1220,17.510000,17.520720,0.005000,0.004071,-0.002709,-0.037000,-0.000000,0.694000,36.204960,-0.000000,0.007285,0.012151,0.011647,0.000000,0.000000,-0.000000,0.023890,0.033456,0.028783,0.001559,3.141000,1.000000,0.995887,0.282793,0.158031,0.158032,0.722161,13.663421,6.440711,15.230195,15.670559,35.349747,15.800042,124.102974,538.383545,247.595490,799.311462,0.000000,0.000000,0.000262,0.039479,0.012432,0.010862,0.147220,-0.089653,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14601,0,0,0,12,61,63,0,0,0,0,-0.488628,-0.354472,-0.568775,-0.218486,0.000000,0.000000,0.000000,0.000000,-0.488628,-0.354472,-0.568775,-0.218486,0.000000,0.000000,0.000000,0.000000,0.098754,-0.107528,0.155160,-0.259742,0.000000,0.000000,0.000000,0.000000,0.098754,-0.107528,0.155160,-0.259742,0.000000,0.000000,0.000000,0.000000,538284032,44178,134219776,4338,1015808,1132860416,10781,33556736,147585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3513,14601,0,0,0,708,316,1220,17.770000,17.545647,0.005000,0.004798,-0.002709,-0.037000,-0.000000,0.694000,31.640507,-0.000000,0.007285,0.012127,0.011648,0.000000,0.000000,-0.000000,0.023890,0.033456,0.028783,0.001559,3.141000,1.000000,0.995850,0.282664,0.157650,0.157651,0.721766,13.663421,6.445184,15.233465,15.670559,35.399746,15.800042,124.152977,539.260803,247.595490,800.188721,0.000000,0.000000,0.000262,0.039479,0.012434,0.010863,0.147220,-0.089653,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
