size,version,checksum,scan_index,error_info,module_time_ms,det_id_0,det_id_1,det_id_2,det_id_3,det_id_4,det_id_5,det_id_6,det_id_7,det_az_raw_0,det_az_raw_1,det_az_raw_2,det_az_raw_3,det_az_raw_4,det_az_raw_5,det_az_raw_6,det_az_raw_7,det_az_vacs_0,det_az_vacs_1,det_az_vacs_2,det_az_vacs_3,det_az_vacs_4,det_az_vacs_5,det_az_vacs_6,det_az_vacs_7,det_el_raw_0,det_el_raw_1,det_el_raw_2,det_el_raw_3,det_el_raw_4,det_el_raw_5,det_el_raw_6,det_el_raw_7,det_el_vacs_0,det_el_vacs_1,det_el_vacs_2,det_el_vacs_3,det_el_vacs_4,det_el_vacs_5,det_el_vacs_6,det_el_vacs_7,detection_used_az_0,detection_used_az_1,detection_used_az_2,detection_used_az_3,detection_used_az_4,detection_used_az_5,detection_used_az_6,detection_used_az_7,detection_used_az_8,detection_used_az_9,detection_used_az_10,detection_used_az_11,detection_used_az_12,detection_used_az_13,detection_used_az_14,detection_used_az_15,detection_used_az_16,detection_used_az_17,detection_used_az_18,detection_used_az_19,detection_used_az_20,detection_used_az_21,detection_used_az_22,detection_used_az_23,detection_used_el_0,detection_used_el_1,detection_used_el_2,detection_used_el_3,detection_used_el_4,detection_used_el_5,detection_used_el_6,detection_used_el_7,detection_used_el_8,detection_used_el_9,detection_used_el_10,detection_used_el_11,detection_used_el_12,detection_used_el_13,detection_used_el_14,detection_used_el_15,detection_used_el_16,detection_used_el_17,detection_used_el_18,detection_used_el_19,detection_used_el_20,detection_used_el_21,detection_used_el_22,detection_used_el_23,cluster_0_detections_0,cluster_0_detections_1,cluster_0_detections_2,cluster_0_detections_3,cluster_0_detections_4,cluster_0_detections_5,cluster_0_detections_6,cluster_0_detections_7,cluster_0_detections_8,cluster_0_detections_9,cluster_0_detections_10,cluster_0_detections_11,cluster_0_detections_12,cluster_0_detections_13,cluster_0_detections_14,cluster_0_detections_15,cluster_1_detections_0,cluster_1_detections_1,cluster_1_detections_2,cluster_1_detections_3,cluster_1_detections_4,cluster_1_detections_5,cluster_1_detections_6,cluster_1_detections_7,cluster_1_detections_8,cluster_1_detections_9,cluster_1_detections_10,cluster_1_detections_11,cluster_1_detections_12,cluster_1_detections_13,cluster_1_detections_14,cluster_1_detections_15,cluster_2_detections_0,cluster_2_detections_1,cluster_2_detections_2,cluster_2_detections_3,cluster_2_detections_4,cluster_2_detections_5,cluster_2_detections_6,cluster_2_detections_7,cluster_2_detections_8,cluster_2_detections_9,cluster_2_detections_10,cluster_2_detections_11,cluster_2_detections_12,cluster_2_detections_13,cluster_2_detections_14,cluster_2_detections_15,cluster_3_detections_0,cluster_3_detections_1,cluster_3_detections_2,cluster_3_detections_3,cluster_3_detections_4,cluster_3_detections_5,cluster_3_detections_6,cluster_3_detections_7,cluster_3_detections_8,cluster_3_detections_9,cluster_3_detections_10,cluster_3_detections_11,cluster_3_detections_12,cluster_3_detections_13,cluster_3_detections_14,cluster_3_detections_15,cluster_4_detections_0,cluster_4_detections_1,cluster_4_detections_2,cluster_4_detections_3,cluster_4_detections_4,cluster_4_detections_5,cluster_4_detections_6,cluster_4_detections_7,cluster_4_detections_8,cluster_4_detections_9,cluster_4_detections_10,cluster_4_detections_11,cluster_4_detections_12,cluster_4_detections_13,cluster_4_detections_14,cluster_4_detections_15,cluster_5_detections_0,cluster_5_detections_1,cluster_5_detections_2,cluster_5_detections_3,cluster_5_detections_4,cluster_5_detections_5,cluster_5_detections_6,cluster_5_detections_7,cluster_5_detections_8,cluster_5_detections_9,cluster_5_detections_10,cluster_5_detections_11,cluster_5_detections_12,cluster_5_detections_13,cluster_5_detections_14,cluster_5_detections_15,cluster_6_detections_0,cluster_6_detections_1,cluster_6_detections_2,cluster_6_detections_3,cluster_6_detections_4,cluster_6_detections_5,cluster_6_detections_6,cluster_6_detections_7,cluster_6_detections_8,cluster_6_detections_9,cluster_6_detections_10,cluster_6_detections_11,cluster_6_detections_12,cluster_6_detections_13,cluster_6_detections_14,cluster_6_detections_15,cluster_7_detections_0,cluster_7_detections_1,cluster_7_detections_2,cluster_7_detections_3,cluster_7_detections_4,cluster_7_detections_5,cluster_7_detections_6,cluster_7_detections_7,cluster_7_detections_8,cluster_7_detections_9,cluster_7_detections_10,cluster_7_detections_11,cluster_7_detections_12,cluster_7_detections_13,cluster_7_detections_14,cluster_7_detections_15,cluster_qualified_0,cluster_qualified_1,cluster_qualified_2,cluster_qualified_3,cluster_qualified_4,cluster_qualified_5,cluster_qualified_6,cluster_qualified_7,alignment_index,look_index,error_status_stage_age,n_updates_azimuth_initial,n_updates_elevation_initial,n_updates_azimuth,n_updates_elevation,n_updates_yawrate_bias_est,raw_speed,estimated_speed,raw_yawrate,estimated_yawrate,estimated_yaw_rate_bias,vcs_sensor_long_posn,vcs_sensor_lat_posn,sensor_height_over_ground,vwrapping,vacs_boresight_az_nominal,vacs_boresight_az_initial,vacs_boresight_az_kf_internal,vacs_boresight_az_estimated,vacs_boresight_az_variance,vacs_boresight_el_msmt,vacs_boresight_el_nominal,vacs_boresight_el_initial,vacs_boresight_el_kf_internal,vacs_boresight_el_estimated,vacs_boresight_el_variance,vacs_boresight_roll_nominal,speed_compensation_factor_initial,speed_compensation_factor_estimated,az_scf_kf_covariance_0,az_scf_kf_covariance_1,az_scf_kf_covariance_2,az_scf_kf_covariance_3,el_kf_covariance,avg_spd_since_start,avg_spd_running_az_scf,avg_spd_running_el,total_time_running_az_scf,total_time_running_el,total_time_since_start,total_distance_running_az_scf,total_distance_running_el,total_distance_since_start,alignment_complete_percent_az,alignment_complete_percent_el,estimated_standard_deviation_az,estimated_standard_deviation_el,estimated_pos_error_bound_az,estimated_neg_error_bound_az,estimated_pos_error_bound_el,estimated_neg_error_bound_el,alignment_mode,mounting_location,azimuth_estimation_qf,elevation_estimation_qf,scf_estimation_qf,error_status_combined,error_status_initialization,error_status_excessive_blockage,error_status_interference,error_status_detection_input,error_status_vehicle_input,error_status_scf_out_of_bounds,error_status_az_est_out_of_bounds,error_status_el_est_out_of_bounds,blockage_value,blockage_status,detection_coordinate_system,version_major,version_minor,version_patch,
848,0,0,14592,0,0,25,0,0,0,0,0,0,0,-0.417652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.629548,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.071819,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.071819,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33554432,1280,-1350565888,-536870813,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3504,14592,0,0,0,699,64,1220,17.500000,17.502317,0.005000,0.007310,-0.002713,-0.327000,-0.871000,0.499000,37.174530,-1.047200,-1.058760,-1.062653,-1.061518,0.000000,0.000000,-0.000000,0.003906,0.009831,0.004765,0.008379,0.000000,1.000000,0.998843,0.155544,-0.074246,-0.074246,1.588751,43.859997,6.406767,15.225517,13.703533,34.949753,3.199998,123.702950,532.128052,43.851280,792.536011,0.000000,0.000000,0.000262,0.091540,-1.060733,-1.062304,0.279384,-0.269854,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14593,0,0,27,34,0,0,0,0,0,0,-0.387081,-0.514756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.660119,-0.532444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.046973,0.080142,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.046973,-0.080142,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,134217728,404,-209706876,1406,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3505,14593,0,0,0,700,64,1220,17.549999,17.507086,0.000000,0.006390,-0.002713,-0.327000,-0.871000,0.499000,32.172474,-1.047200,-1.058760,-1.062665,-1.061521,0.000000,0.000000,-0.000000,0.003906,0.009831,0.004765,0.008379,0.000000,1.000000,0.998840,0.155714,-0.074508,-0.074508,1.587170,43.859997,6.411252,15.228777,13.703533,34.999752,3.199998,123.752953,533.003418,43.851280,793.411377,0.000000,0.000000,0.000262,0.091540,-1.060736,-1.062307,0.279384,-0.269854,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14594,0,0,17,0,0,0,0,0,0,0,-0.360005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.687195,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.076650,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.076650,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1878917120,0,1409064960,2080374784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506,14594,0,0,0,701,64,1220,17.510000,17.507378,0.000000,0.005655,-0.002713,-0.327000,-0.871000,0.499000,36.029621,-1.047200,-1.058760,-1.062667,-1.061524,0.000000,0.000000,-0.000000,0.003906,0.009831,0.004765,0.008379,0.000000,1.000000,0.998839,0.155869,-0.074638,-0.074638,1.586358,43.859997,6.415733,15.232028,13.703533,35.049751,3.199998,123.802956,533.878784,43.851280,794.286743,0.000000,0.000000,0.000262,0.091540,-1.060739,-1.062310,0.279384,-0.269854,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14595,0,0,7,26,0,0,0,0,0,0,-0.903515,-0.503290,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.143685,-0.543910,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.044054,0.064197,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.044054,-0.064197,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67108992,0,-1353669052,-2147483637,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3507,14595,0,0,0,702,64,1220,17.459999,17.502640,-0.005000,0.004066,-0.002713,-0.327000,-0.871000,0.499000,30.906456,-1.047200,-1.058760,-1.062659,-1.061527,0.000000,0.000000,-0.000000,0.003906,0.009831,0.004765,0.008379,0.000000,1.000000,0.998842,0.155977,-0.074875,-0.074875,1.585585,43.859997,6.420209,15.235262,13.703533,35.099751,3.199998,123.852959,534.753906,43.851280,795.161865,0.000000,0.000000,0.000262,0.091540,-1.060742,-1.062313,0.279384,-0.269854,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14596,0,0,60,0,0,0,0,0,0,0,-0.479339,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.567861,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.104593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.104593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,268435456,-536870908,-396357529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3508,14596,0,0,0,703,64,1220,17.510000,17.503376,0.000000,0.003796,-0.002713,-0.327000,-0.871000,0.499000,37.174530,-1.047200,-1.058760,-1.062661,-1.061530,0.000000,0.000000,-0.000000,0.003906,0.009831,0.004765,0.008379,0.000000,1.000000,0.998840,0.156095,-0.075047,-0.075048,1.584752,43.859997,6.424681,15.238489,13.703533,35.149750,3.199998,123.902962,535.629089,43.851280,796.037048,0.000000,0.000000,0.000262,0.091540,-1.060745,-1.062315,0.279384,-0.269854,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14597,0,0,28,0,0,0,0,0,0,0,-0.503806,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.543394,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.119457,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.119457,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,268435456,-2113929148,-1612177408,536870952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3509,14597,0,0,0,704,64,1220,17.500000,17.503038,0.000000,0.003579,-0.002713,-0.327000,-0.871000,0.499000,32.172474,-1.047200,-1.058760,-1.062665,-1.061533,0.000000,0.000000,-0.000000,0.003906,0.009831,0.004765,0.008379,0.000000,1.000000,0.998839,0.156225,-0.075262,-0.075262,1.583679,43.859997,6.429150,15.241706,13.703533,35.199749,3.199998,123.952965,536.504211,43.851280,796.912170,0.000000,0.000000,0.000262,0.091540,-1.060748,-1.062318,0.279384,-0.269854,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14598,0,0,8,0,0,0,0,0,0,0,-0.893447,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.153753,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.049640,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.049640,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,256,2,1086290434,100663297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3510,14598,0,0,0,705,64,1220,17.690001,17.521734,0.000000,0.003406,-0.002713,-0.327000,-0.871000,0.499000,36.029621,-1.047200,-1.058760,-1.062671,-1.061536,0.000000,0.000000,-0.000000,0.003906,0.009831,0.004765,0.008379,0.000000,1.000000,0.998836,0.156368,-0.075344,-0.075344,1.583557,43.859997,6.433622,15.244941,13.703533,35.249748,3.199998,124.002968,537.380310,43.851280,797.788269,0.000000,0.000000,0.000262,0.091540,-1.060751,-1.062321,0.279384,-0.269854,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14599,0,0,16,18,0,0,0,0,0,0,-0.398204,-0.384324,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.648996,-0.662876,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.114056,0.137438,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.114056,-0.137438,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,402980864,268439680,68407554,266338304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3511,14599,0,0,0,706,64,1220,17.510000,17.520561,0.005000,0.004267,-0.002713,-0.327000,-0.871000,0.499000,30.906456,-1.047200,-1.058760,-1.062663,-1.061539,0.000000,0.000000,-0.000000,0.003906,0.009831,0.004765,0.008379,0.000000,1.000000,0.998836,0.156529,-0.075645,-0.075645,1.581409,43.859997,6.438091,15.248164,13.703533,35.299747,3.199998,124.052971,538.256348,43.851280,798.664307,0.000000,0.000000,0.000262,0.091540,-1.060754,-1.062324,0.279384,-0.269854,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14600,0,0,1,28,33,0,0,0,0,0,-0.772469,-0.758448,-0.653150,0.000000,0.000000,0.000000,0.000000,0.000000,-0.274731,-0.288752,-0.394050,0.000000,0.000000,0.000000,0.000000,0.000000,-0.068556,0.137617,0.119335,0.000000,0.000000,0.000000,0.000000,0.000000,0.068556,-0.137617,-0.119335,0.000000,0.000000,0.000000,0.000000,0.000000,268435456,268435978,-5767168,-268434881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3512,14600,0,0,0,707,64,1220,17.510000,17.519505,0.005000,0.004956,-0.002713,-0.327000,-0.871000,0.499000,37.174530,-1.047200,-1.058760,-1.062666,-1.061542,0.000000,0.000000,-0.000000,0.003906,0.009831,0.004765,0.008379,0.000000,1.000000,0.998836,0.156737,-0.075804,-0.075804,1.580622,43.859997,6.442555,15.251377,13.703533,35.349747,3.199998,124.102974,539.132324,43.851280,799.540283,0.000000,0.000000,0.000262,0.091540,-1.060757,-1.062327,0.279384,-0.269854,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14601,0,0,1,29,55,0,0,0,0,0,-0.726450,-0.501554,-0.637150,0.000000,0.000000,0.000000,0.000000,0.000000,-0.320750,-0.545646,-0.410050,0.000000,0.000000,0.000000,0.000000,0.000000,-0.064828,0.091481,0.089980,0.000000,0.000000,0.000000,0.000000,0.000000,0.064828,-0.091481,-0.089980,0.000000,0.000000,0.000000,0.000000,0.000000,536870912,1082130432,297269888,1572864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3513,14601,0,0,0,708,64,1220,17.770000,17.544554,0.005000,0.005507,-0.002713,-0.327000,-0.871000,0.499000,32.172474,-1.047200,-1.058760,-1.062679,-1.061545,0.000000,0.000000,-0.000000,0.003906,0.009831,0.004765,0.008379,0.000000,1.000000,0.998832,0.156897,-0.075918,-0.075918,1.580079,43.859997,6.447026,15.254616,13.703533,35.399746,3.199998,124.152977,540.009521,43.851280,800.417480,0.000000,0.000000,0.000262,0.091540,-1.060760,-1.062330,0.279384,-0.269854,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
