size,version,checksum,scan_index,error_info,module_time_ms,det_id_0,det_id_1,det_id_2,det_id_3,det_id_4,det_id_5,det_id_6,det_id_7,det_az_raw_0,det_az_raw_1,det_az_raw_2,det_az_raw_3,det_az_raw_4,det_az_raw_5,det_az_raw_6,det_az_raw_7,det_az_vacs_0,det_az_vacs_1,det_az_vacs_2,det_az_vacs_3,det_az_vacs_4,det_az_vacs_5,det_az_vacs_6,det_az_vacs_7,det_el_raw_0,det_el_raw_1,det_el_raw_2,det_el_raw_3,det_el_raw_4,det_el_raw_5,det_el_raw_6,det_el_raw_7,det_el_vacs_0,det_el_vacs_1,det_el_vacs_2,det_el_vacs_3,det_el_vacs_4,det_el_vacs_5,det_el_vacs_6,det_el_vacs_7,detection_used_az_0,detection_used_az_1,detection_used_az_2,detection_used_az_3,detection_used_az_4,detection_used_az_5,detection_used_az_6,detection_used_az_7,detection_used_az_8,detection_used_az_9,detection_used_az_10,detection_used_az_11,detection_used_az_12,detection_used_az_13,detection_used_az_14,detection_used_az_15,detection_used_az_16,detection_used_az_17,detection_used_az_18,detection_used_az_19,detection_used_az_20,detection_used_az_21,detection_used_az_22,detection_used_az_23,detection_used_el_0,detection_used_el_1,detection_used_el_2,detection_used_el_3,detection_used_el_4,detection_used_el_5,detection_used_el_6,detection_used_el_7,detection_used_el_8,detection_used_el_9,detection_used_el_10,detection_used_el_11,detection_used_el_12,detection_used_el_13,detection_used_el_14,detection_used_el_15,detection_used_el_16,detection_used_el_17,detection_used_el_18,detection_used_el_19,detection_used_el_20,detection_used_el_21,detection_used_el_22,detection_used_el_23,cluster_0_detections_0,cluster_0_detections_1,cluster_0_detections_2,cluster_0_detections_3,cluster_0_detections_4,cluster_0_detections_5,cluster_0_detections_6,cluster_0_detections_7,cluster_0_detections_8,cluster_0_detections_9,cluster_0_detections_10,cluster_0_detections_11,cluster_0_detections_12,cluster_0_detections_13,cluster_0_detections_14,cluster_0_detections_15,cluster_1_detections_0,cluster_1_detections_1,cluster_1_detections_2,cluster_1_detections_3,cluster_1_detections_4,cluster_1_detections_5,cluster_1_detections_6,cluster_1_detections_7,cluster_1_detections_8,cluster_1_detections_9,cluster_1_detections_10,cluster_1_detections_11,cluster_1_detections_12,cluster_1_detections_13,cluster_1_detections_14,cluster_1_detections_15,cluster_2_detections_0,cluster_2_detections_1,cluster_2_detections_2,cluster_2_detections_3,cluster_2_detections_4,cluster_2_detections_5,cluster_2_detections_6,cluster_2_detections_7,cluster_2_detections_8,cluster_2_detections_9,cluster_2_detections_10,cluster_2_detections_11,cluster_2_detections_12,cluster_2_detections_13,cluster_2_detections_14,cluster_2_detections_15,cluster_3_detections_0,cluster_3_detections_1,cluster_3_detections_2,cluster_3_detections_3,cluster_3_detections_4,cluster_3_detections_5,cluster_3_detections_6,cluster_3_detections_7,cluster_3_detections_8,cluster_3_detections_9,cluster_3_detections_10,cluster_3_detections_11,cluster_3_detections_12,cluster_3_detections_13,cluster_3_detections_14,cluster_3_detections_15,cluster_4_detections_0,cluster_4_detections_1,cluster_4_detections_2,cluster_4_detections_3,cluster_4_detections_4,cluster_4_detections_5,cluster_4_detections_6,cluster_4_detections_7,cluster_4_detections_8,cluster_4_detections_9,cluster_4_detections_10,cluster_4_detections_11,cluster_4_detections_12,cluster_4_detections_13,cluster_4_detections_14,cluster_4_detections_15,cluster_5_detections_0,cluster_5_detections_1,cluster_5_detections_2,cluster_5_detections_3,cluster_5_detections_4,cluster_5_detections_5,cluster_5_detections_6,cluster_5_detections_7,cluster_5_detections_8,cluster_5_detections_9,cluster_5_detections_10,cluster_5_detections_11,cluster_5_detections_12,cluster_5_detections_13,cluster_5_detections_14,cluster_5_detections_15,cluster_6_detections_0,cluster_6_detections_1,cluster_6_detections_2,cluster_6_detections_3,cluster_6_detections_4,cluster_6_detections_5,cluster_6_detections_6,cluster_6_detections_7,cluster_6_detections_8,cluster_6_detections_9,cluster_6_detections_10,cluster_6_detections_11,cluster_6_detections_12,cluster_6_detections_13,cluster_6_detections_14,cluster_6_detections_15,cluster_7_detections_0,cluster_7_detections_1,cluster_7_detections_2,cluster_7_detections_3,cluster_7_detections_4,cluster_7_detections_5,cluster_7_detections_6,cluster_7_detections_7,cluster_7_detections_8,cluster_7_detections_9,cluster_7_detections_10,cluster_7_detections_11,cluster_7_detections_12,cluster_7_detections_13,cluster_7_detections_14,cluster_7_detections_15,cluster_qualified_0,cluster_qualified_1,cluster_qualified_2,cluster_qualified_3,cluster_qualified_4,cluster_qualified_5,cluster_qualified_6,cluster_qualified_7,alignment_index,look_index,error_status_stage_age,n_updates_azimuth_initial,n_updates_elevation_initial,n_updates_azimuth,n_updates_elevation,n_updates_yawrate_bias_est,raw_speed,estimated_speed,raw_yawrate,estimated_yawrate,estimated_yaw_rate_bias,vcs_sensor_long_posn,vcs_sensor_lat_posn,sensor_height_over_ground,vwrapping,vacs_boresight_az_nominal,vacs_boresight_az_initial,vacs_boresight_az_kf_internal,vacs_boresight_az_estimated,vacs_boresight_az_variance,vacs_boresight_el_msmt,vacs_boresight_el_nominal,vacs_boresight_el_initial,vacs_boresight_el_kf_internal,vacs_boresight_el_estimated,vacs_boresight_el_variance,vacs_boresight_roll_nominal,speed_compensation_factor_initial,speed_compensation_factor_estimated,az_scf_kf_covariance_0,az_scf_kf_covariance_1,az_scf_kf_covariance_2,az_scf_kf_covariance_3,el_kf_covariance,avg_spd_since_start,avg_spd_running_az_scf,avg_spd_running_el,total_time_running_az_scf,total_time_running_el,total_time_since_start,total_distance_running_az_scf,total_distance_running_el,total_distance_since_start,alignment_complete_percent_az,alignment_complete_percent_el,estimated_standard_deviation_az,estimated_standard_deviation_el,estimated_pos_error_bound_az,estimated_neg_error_bound_az,estimated_pos_error_bound_el,estimated_neg_error_bound_el,alignment_mode,mounting_location,azimuth_estimation_qf,elevation_estimation_qf,scf_estimation_qf,error_status_combined,error_status_initialization,error_status_excessive_blockage,error_status_interference,error_status_detection_input,error_status_vehicle_input,error_status_scf_out_of_bounds,error_status_az_est_out_of_bounds,error_status_el_est_out_of_bounds,blockage_value,blockage_status,detection_coordinate_system,version_major,version_minor,version_patch,
848,0,0,14592,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,32768,1074170880,-1979694990,4,301989888,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3503,14592,0,0,0,698,284,1221,17.570000,17.501766,0.010000,0.007236,-0.002722,-5.174000,-0.864000,0.679000,37.174530,-2.042040,-2.048553,-2.045640,-2.046531,0.000000,0.000000,-0.000000,-0.040633,-0.023171,-0.029503,0.002189,3.141000,1.000000,0.998932,0.132106,0.058612,0.058612,1.305612,13.662370,6.402870,15.231230,16.346621,34.899754,14.200036,123.702950,531.566162,232.122604,792.053955,0.000000,0.000000,0.000262,0.046784,-2.045746,-2.047317,0.110850,-0.169856,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14593,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1073741824,1207959553,-1291840732,-1606418304,262146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3504,14593,0,0,0,699,284,1221,17.500000,17.501589,0.005000,0.007334,-0.002722,-5.174000,-0.864000,0.679000,32.172474,-2.042040,-2.048553,-2.045637,-2.046529,0.000000,0.000000,-0.000000,-0.040633,-0.023171,-0.029503,0.002189,3.141000,1.000000,0.998929,0.132212,0.058739,0.058739,1.305369,13.662370,6.407354,15.234477,16.346621,34.949753,14.200036,123.752953,532.441223,232.122604,792.929016,0.000000,0.000000,0.000262,0.046784,-2.045743,-2.047314,0.110850,-0.169856,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14594,0,0,10,0,0,0,0,0,0,0,1.348448,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.693592,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.246408,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.246408,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-2147483136,-2057228272,416284676,4194308,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3505,14594,0,0,0,700,284,1221,17.549999,17.506430,0.000000,0.006411,-0.002722,-5.174000,-0.864000,0.679000,36.029621,-2.042040,-2.048553,-2.045633,-2.046526,0.000000,0.000000,-0.000000,-0.040633,-0.023171,-0.029503,0.002189,3.141000,1.000000,0.998923,0.132324,0.058843,0.058843,1.305243,13.662370,6.411837,15.237723,16.346621,34.999752,14.200036,123.802956,533.316528,232.122604,793.804321,0.000000,0.000000,0.000262,0.046784,-2.045741,-2.047312,0.110850,-0.169856,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14595,0,0,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67108864,-1073741235,-2147415939,1207959552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3506,14595,0,0,0,701,284,1221,17.510000,17.506786,0.000000,0.005673,-0.002722,-5.174000,-0.864000,0.679000,30.906456,-2.042040,-2.048553,-2.045633,-2.046524,0.000000,0.000000,-0.000000,-0.040633,-0.023171,-0.029503,0.002189,3.141000,1.000000,0.998922,0.132435,0.058942,0.058942,1.305127,13.662370,6.416316,15.240961,16.346621,35.049751,14.200036,123.852959,534.191895,232.122604,794.679688,0.000000,0.000000,0.000262,0.046784,-2.045739,-2.047309,0.110850,-0.169856,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14596,0,0,19,25,0,0,0,0,0,0,-0.685779,1.108557,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.727819,-0.933483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.007703,0.477962,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.007703,0.477962,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,524288,1238080,38533,-1610604544,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3507,14596,0,0,0,702,284,1221,17.459999,17.502108,-0.005000,0.004083,-0.002722,-5.174000,-0.864000,0.679000,37.174530,-2.042040,-2.048553,-2.045634,-2.046522,0.000000,0.000000,-0.000000,-0.040633,-0.023171,-0.029503,0.002189,3.141000,1.000000,0.998919,0.132526,0.059089,0.059089,1.304842,13.662370,6.420789,15.244183,16.346621,35.099751,14.200036,123.902962,535.067017,232.122604,795.554810,0.000000,0.000000,0.000262,0.046784,-2.045737,-2.047307,0.110850,-0.169856,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14597,0,0,28,0,0,0,0,0,0,0,-0.697197,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.739238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.049599,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.049599,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,268435456,8388608,1509967491,671088641,262144,536870912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3508,14597,0,0,0,703,284,1221,17.510000,17.502897,0.000000,0.003811,-0.002722,-5.174000,-0.864000,0.679000,32.172474,-2.042040,-2.048553,-2.045632,-2.046520,0.000000,0.000000,-0.000000,-0.040633,-0.023171,-0.029503,0.002189,3.141000,1.000000,0.998917,0.132615,0.059224,0.059224,1.304574,13.662370,6.425259,15.247396,16.346621,35.149750,14.200036,123.952965,535.942139,232.122604,796.429932,0.000000,0.000000,0.000262,0.046784,-2.045734,-2.047305,0.110850,-0.169856,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14598,0,0,13,58,0,0,0,0,0,0,-0.723879,1.392594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.765919,-0.649446,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.015959,-0.109201,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.015959,-0.109201,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8192,2913,15624,536870912,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3509,14598,0,0,0,704,284,1221,17.500000,17.502607,0.000000,0.003593,-0.002722,-5.174000,-0.864000,0.679000,36.029621,-2.042040,-2.048553,-2.045632,-2.046517,0.000000,0.000000,-0.000000,-0.040633,-0.023171,-0.029503,0.002189,3.141000,1.000000,0.998917,0.132697,0.059311,0.059311,1.304450,13.662370,6.429726,15.250599,16.346621,35.199749,14.200036,124.002968,536.817261,232.122604,797.305054,0.000000,0.000000,0.000262,0.046784,-2.045732,-2.047302,0.110850,-0.169856,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14599,0,0,14,24,25,0,0,0,0,0,-0.547463,1.355542,-0.738003,0.000000,0.000000,0.000000,0.000000,0.000000,-2.589503,-0.686498,-2.780043,0.000000,0.000000,0.000000,0.000000,0.000000,-0.049221,-0.095652,-0.028049,0.000000,0.000000,0.000000,0.000000,0.000000,-0.049221,-0.095652,-0.028049,0.000000,0.000000,0.000000,0.000000,0.000000,33570816,0,86530,301989950,65540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3510,14599,0,0,0,705,284,1221,17.690001,17.521347,0.000000,0.003419,-0.002722,-5.174000,-0.864000,0.679000,30.906456,-2.042040,-2.048553,-2.045618,-2.046515,0.000000,0.000000,-0.000000,-0.040633,-0.023171,-0.029503,0.002189,3.141000,1.000000,0.998909,0.132776,0.059448,0.059448,1.304048,13.662370,6.434196,15.253819,16.346621,35.249748,14.200036,124.052971,537.693298,232.122604,798.181091,0.000000,0.000000,0.000262,0.046784,-2.045729,-2.047300,0.110850,-0.169856,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14600,0,0,18,21,55,0,0,0,0,0,1.328781,-0.411309,-0.846499,0.000000,0.000000,0.000000,0.000000,0.000000,-0.713259,-2.453349,-2.888539,0.000000,0.000000,0.000000,0.000000,0.000000,-0.070300,-0.050439,-0.134484,0.000000,0.000000,0.000000,0.000000,0.000000,-0.070300,-0.050439,-0.134484,0.000000,0.000000,0.000000,0.000000,0.000000,2097152,8388608,-1610397616,603979786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3511,14600,0,0,0,706,284,1221,17.510000,17.520212,0.005000,0.004280,-0.002722,-5.174000,-0.864000,0.679000,37.174530,-2.042040,-2.048553,-2.045615,-2.046513,0.000000,0.000000,-0.000000,-0.040633,-0.023171,-0.029503,0.002189,3.141000,1.000000,0.998908,0.132848,0.059568,0.059568,1.303567,13.662370,6.438662,15.257030,16.346621,35.299747,14.200036,124.102974,538.569336,232.122604,799.057129,0.000000,0.000000,0.000262,0.046784,-2.045727,-2.047298,0.110850,-0.169856,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
848,0,0,14601,0,0,19,32,61,0,0,0,0,0,1.299271,-0.767832,-0.833545,0.000000,0.000000,0.000000,0.000000,0.000000,-0.742769,-2.809872,-2.875585,0.000000,0.000000,0.000000,0.000000,0.000000,0.011007,-0.004665,-0.127513,0.000000,0.000000,0.000000,0.000000,0.000000,0.011007,-0.004665,-0.127513,0.000000,0.000000,0.000000,0.000000,0.000000,0,536870913,742457344,337199104,2,-2147483648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3512,14601,0,0,0,707,284,1221,17.770000,17.545191,0.005000,0.004968,-0.002722,-5.174000,-0.864000,0.679000,32.172474,-2.042040,-2.048553,-2.045604,-2.046510,0.000000,0.000000,-0.000000,-0.040633,-0.023171,-0.029503,0.002189,3.141000,1.000000,0.998899,0.132927,0.059651,0.059651,1.303470,13.662370,6.443135,15.260267,16.346621,35.349747,14.200036,124.152977,539.446594,232.122604,799.934387,0.000000,0.000000,0.000262,0.046784,-2.045725,-2.047296,0.110850,-0.169856,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,2,18,5,2,
